flat,mrt,mrt_dist,num_mrt_2km,supermarket_dist,num_supermarket_2km,hawker,hawker_dist,num_hawker_2km,school,school_dist,num_school_2km
430 TAMPINES ST 41,TAMPINES EAST MRT STATION,0.619,5,0.343,19,Market Street Food Centre,1.684,1,Tampines North Primary School,0.188,13
612 ELIAS RD,PASIR RIS MRT STATION,0.823,1,0.439,7,Market Street Food Centre,3.248,0,Elias Park Primary School,0.346,6
146 YISHUN ST 11,YISHUN MRT STATION,0.331,2,0.331,16,Chong Pang Market & Food Centre,0.44,2,Ahmad Ibrahim Primary School,0.244,10
153 BISHAN ST 13,BISHAN MRT STATION,0.877,9,0.608,14,Blk 210 Toa Payoh Lorong 8,0.649,6,Kuo Chuan Presbyterian Primary School,0.342,12
13 MARSILING LANE,WOODLANDS MRT STATION,0.93,3,1.091,8,Blks 20/21 Marsiling Lane,0.364,2,Qihua Primary School,1.014,8
564 PASIR RIS ST 51,PASIR RIS MRT STATION,0.502,4,0.25,16,Market Street Food Centre,2.62,0,Elias Park Primary School,0.847,11
543 HOUGANG AVE 8,BUANGKOK MRT STATION,0.568,9,0.491,16,Market Street Food Centre,2.18,0,Punggol Primary School,0.277,16
212 PETIR RD,PENDING LRT STATION,0.53,12,0.499,9,Bukit Timah Market,3.876,0,Bukit Panjang Primary School,0.717,6
508 CHOA CHU KANG ST 51,CHOA CHU KANG MRT STATION,0.45,6,0.441,9,Market Street Food Centre,4.981,0,De La Salle School,0.722,8
153 SIMEI ST 1,SIMEI MRT STATION,0.485,7,0.542,17,Market Street Food Centre,1.4,1,Angsana Primary School,0.705,8
259 KIM KEAT AVE,TOA PAYOH MRT STATION,1.128,5,0.198,16,Blk 75 Toa Payoh Lorong 5,0.563,5,Pei Chun Public School,0.443,10
663 YISHUN AVE 4,KHATIB MRT STATION,0.834,2,0.615,16,Chong Pang Market & Food Centre,1.81,2,Northland Primary School,0.155,9
985A BUANGKOK CRES,TONGKANG LRT STATION,1.106,9,0.092,19,Chomp Chomp Food Centre,2.406,0,Hougang Primary School,0.43,13
115 HO CHING RD,LAKESIDE MRT STATION,1.24,4,0.272,16,Taman Jurong Market & Food Centre,0.361,3,Lakeside Primary School,0.886,6
85C LOR 4 TOA PAYOH,TOA PAYOH MRT STATION,0.404,8,0.382,18,Blk 93 Toa Payoh Lorong 4,0.331,5,Kheng Cheng School,0.122,10
220C BEDOK CTRL,BEDOK MRT STATION,0.466,3,0.251,21,Blk 216 Bedok North Street 1,0.184,7,Bedok Green Primary School,0.504,7
52 NEW UPP CHANGI RD,TANAH MERAH MRT STATION,0.558,3,0.112,14,Blk 58 New Upper Changi Road,0.158,7,Bedok Green Primary School,0.518,5
12 CANTONMENT CL,OUTRAM PARK MRT STATION,0.587,13,0.379,17,Blk 6 Tanjong Pagar Plaza,0.418,10,Cantonment Primary School,0.111,4
